30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
1.4021230000  0.0827307600  0.0028470790  4  4
1.4021230000  0.0827307600  0.0028470790  5  4
1.4021230000  0.0827307600  0.0028470790  6  4
0.7570603000  -1.1638920000  -0.0020635630  1  4
0.7570603000  -1.1638920000  -0.0020635630  4  4
0.7570603000  -1.1638920000  -0.0020635630  5  4
0.7570603000  -1.1638920000  -0.0020635630  6  4
-0.6319750000  -1.2437970000  0.0136492900  1  4
-0.6319750000  -1.2437970000  0.0136492900  4  4
-0.6319750000  -1.2437970000  0.0136492900  5  4
-0.6319750000  -1.2437970000  0.0136492900  6  4
-1.3801780000  -0.0909339700  -0.0260218900  1  4
-1.3801780000  -0.0909339700  -0.0260218900  4  4
-1.3801780000  -0.0909339700  -0.0260218900  5  4
-1.3801780000  -0.0909339700  -0.0260218900  6  4
-1.3219310000  2.1175680000  0.0190267200  1  3
1.1331210000  2.2592820000  -0.0021989350  1  3
2.4455890000  0.1236422000  0.0051148500  1  3
1.3263950000  -2.0819620000  0.0337877400  1  3
-1.0894880000  -2.2037040000  0.1279307000  1  3
-2.4645410000  -0.1096066000  -0.0116366700  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7614358000  1.1614960000  -0.0061582150  1  4
-0.7614358000  1.1614960000  -0.0061582150  4  4
-0.7614358000  1.1614960000  -0.0061582150  5  4
-0.7614358000  1.1614960000  -0.0061582150  6  4
0.6213051000  1.2465070000  0.0065966080  1  4
0.6213051000  1.2465070000  0.0065966080  4  4
0.6213051000  1.2465070000  0.0065966080  5  4
0.6213051000  1.2465070000  0.0065966080  6  4
1.4028420000  0.0837716200  0.0034877150  1  4
1.4028420000  0.0837716200  0.0034877150  4  4
1.4028420000  0.0837716200  0.0034877150  5  4
1.4028420000  0.0837716200  0.0034877150  6  4
0.7562636000  -1.1623860000  -0.0014918210  1  4
0.7562636000  -1.1623860000  -0.0014918210  4  4
0.7562636000  -1.1623860000  -0.0014918210  5  4
0.7562636000  -1.1623860000  -0.0014918210  6  4
-0.6318179000  -1.2443160000  0.0166128600  1  4
-0.6318179000  -1.2443160000  0.0166128600  4  4
-0.6318179000  -1.2443160000  0.0166128600  5  4
-0.6318179000  -1.2443160000  0.0166128600  6  4
-1.3775130000  -0.0932295600  -0.0310056900  1  4
-1.3775130000  -0.0932295600  -0.0310056900  4  4
-1.3775130000  -0.0932295600  -0.0310056900  5  4
-1.3775130000  -0.0932295600  -0.0310056900  6  4
-1.3165380000  2.1181580000  0.0241516800  1  3
1.1329440000  2.2578520000  -0.0018341240  1  3
2.4468830000  0.1224592000  0.0065744440  1  3
1.3241920000  -2.0808190000  0.0401461400  1  3
-1.0828420000  -2.2026290000  0.1514486000  1  3
-2.4623460000  -0.1091981000  -0.0140696300  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7605066000  1.1607810000  -0.0077755060  1  4
-0.7605066000  1.1607810000  -0.0077755060  4  4
-0.7605066000  1.1607810000  -0.0077755060  5  4
-0.7605066000  1.1607810000  -0.0077755060  6  4
0.6210421000  1.2472110000  0.0074244370  1  4
0.6210421000  1.2472110000  0.0074244370  4  4
0.6210421000  1.2472110000  0.0074244370  5  4
0.6210421000  1.2472110000  0.0074244370  6  4
1.4030960000  0.0844280900  0.0036474160  1  4
1.4030960000  0.0844280900  0.0036474160  4  4
1.4030960000  0.0844280900  0.0036474160  5  4
1.4030960000  0.0844280900  0.0036474160  6  4
0.7556164000  -1.1601110000  -0.0003328035  1  4
0.7556164000  -1.1601110000  -0.0003328035  4  4
0.7556164000  -1.1601110000  -0.0003328035  5  4
0.7556164000  -1.1601110000  -0.0003328035  6  4
-0.6315984000  -1.2450270000  0.0194948800  1  4
-0.6315984000  -1.2450270000  0.0194948800  4  4
-0.6315984000  -1.2450270000  0.0194948800  5  4
-0.6315984000  -1.2450270000  0.0194948800  6  4
-1.3745880000  -0.0950257600  -0.0362573200  1  4
-1.3745880000  -0.0950257600  -0.0362573200  4  4
-1.3745880000  -0.0950257600  -0.0362573200  5  4
-1.3745880000  -0.0950257600  -0.0362573200  6  4
-1.3115080000  2.1159040000  0.0285016200  1  3
1.1318120000  2.2551110000  -0.0004237092  1  3
2.4523940000  0.1197101000  0.0067108510  1  3
1.3222730000  -2.0800390000  0.0470002500  1  3
-1.0776830000  -2.2029320000  0.1750043000  1  3
-2.4597570000  -0.1103776000  -0.0172756800  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7590702000  1.1596420000  -0.0095353700  1  4
-0.7590702000  1.1596420000  -0.0095353700  4  4
-0.7590702000  1.1596420000  -0.0095353700  5  4
-0.7590702000  1.1596420000  -0.0095353700  6  4
0.6204876000  1.2483540000  0.0085612690  1  4
